slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
famine,Famine,Transformation and life transitions,KEEP,3,3,2,2,3,2,1,1,1,2,2,2,24,P2,Passes,"dying from famine Often symbolizes extreme emotional depletion, hopelessness, burnout, or fear of losing something essential.","What was scarce, who was affected, whether help existed, and how you responded distinguish personal depletion from collective fear or moral concern.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",eating-food,0.2392,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,601,5,2,2
being-in-labour,Being in labour,Transformation and life transitions,KEEP,3,2,2,2,3,2,1,1,1,2,3,2,24,P2,Passes,"Why labour symbolizes creation Labour represents the process of bringing something new into existence, making it a powerful symbol of growth and transformation.",Fear can concern pain or loss of control; determination may show readiness to continue; anger can arise when support is absent; relief between contractions differs from relief after the process ends.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",giving-birth,0.2721,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,536,5,3,3
working-on-a-farm,Working on a farm,Transformation and life transitions,IMPROVE,3,3,2,1,3,1,2,2,3,0,3,2,25,P2,Passes,"working with others on a farm Often symbolizes teamwork, community support, shared goals, and collective effort.","working on a large healthy farm May symbolize growth, opportunity, abundance, productivity, and positive progress.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",harvesting,0.2577,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,917,0,5,5
traveling-to-your-dream-destination,Traveling to your dream destination,Transformation and life transitions,,3,3,2,1,1,2,2,3,2,0,3,2,24,P2,Passes,"Dreams about traveling to your dream destination often reflect hope, personal goals, future possibilities, fulfillment, ambition, freedom, life direction, or the feeling that something you deeply desire may finally be moving closer.","Why dream destinations feel so meaningful Dream destinations often become emotional symbols because people attach hopes, goals, freedom, happiness, and future possibilities to specific places.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",travel,0.4638,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1043,0,6,6
being-late,Being late,Transformation and life transitions,,3,2,2,1,1,2,2,2,2,2,3,2,24,P2,Passes,"Dreams about being late often reflect pressure, anxiety, missed opportunities, fear of failure, time-related stress, self-expectations, uncertainty, procrastination, or concerns about meeting responsibilities and important life goals.","What you were late for identifies the pressure involved: work can reflect performance, a wedding commitment, and transport a feared missed opportunity.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-late-for-class,0.4836,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,1053,5,5,5
losing-your-language,Losing Your Language,Anxiety and fear,,3,3,3,1,3,1,2,2,2,2,3,2,27,P2,Passes,"Dreams of losing your language often feel frustrating and disorienting — like you know exactly what you want to say, but can’t make it understood.","Losing it can represent fear of becoming unrecognizable to a community, while unexpectedly using another language can reflect adaptation or a self that emerges in a different setting.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-unable-to-speak,0.2932,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Poor conditional scenarios,,769,5,3,3
missing-a-flight,Missing a Flight,Travel and transportation,,2,3,2,1,2,1,2,2,2,2,3,2,24,P2,Passes,"Relief after missing the flight can be equally revealing, suggesting ambivalence about a transition the waking mind believes it ought to want.","Notice whether lateness, missing documents, security delays, or indecision caused the missed flight.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",missing-an-opportunity,0.4556,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Poor conditional scenarios,,836,5,3,3
running-away,Running away,Anxiety and fear,KEEP,3,3,3,2,1,3,1,2,1,2,3,2,26,P2,Passes,"running away from danger May reflect stress, emotional overwhelm, fear, or situations that feel emotionally threatening or emotionally unsafe.","running away from an unknown figure Can reflect anxiety, uncertainty, hidden emotional tension, or fear connected to emotions or situations you do not fully understand yet.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",running,0.4773,true,"Potentially defensible if this distinction remains central: running away from an unknown figure Can reflect anxiety, uncertainty, hidden emotional tension, or fear connected to emotions or situations you do not fully understand yet.",Generic interpretation,Insufficient symbolic context; No practical connection,,711,5,4,4
hiding-from-someone,Hiding from someone,Transformation and life transitions,,3,3,3,1,2,2,2,2,3,2,3,2,28,P3,Passes,Hiding from an aggressor can represent prudent safety; hiding from a friend may involve shame or avoided conflict; hiding successfully may feel protective rather than cowardly.,"Why recurring dreams happen Recurring dreams about hiding from someone may suggest ongoing anxiety, unresolved conflicts, avoidance patterns, fear of judgment, or emotional pressures that continue demanding attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",escaping-danger,0.3938,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,1045,5,5,5
failing-an-exam,Failing an exam,Anxiety and fear,,3,3,2,1,1,1,2,3,3,2,3,2,26,P2,Passes,"Dreams about failing an exam often reflect pressure, self-doubt, fear of failure, anxiety, or the feeling that you are being evaluated, judged, or unable to meet expectations.","Symbolically, failing an exam often represents self-evaluation, emotional pressure, fear of judgment, insecurity, perfectionism, expectations, or situations where your abilities or sense of worth feel emotionally tested.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-unprepared,0.5168,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Poor conditional scenarios,,1059,4,5,5
going-back-to-school,Going back to school,Houses and places,,3,3,3,1,2,2,2,3,3,0,3,2,27,P2,Passes,"Dreams about going back to school often reflect self-evaluation, pressure, unresolved patterns, growth, insecurity, or situations that make you feel tested, unprepared, or uncertain again.","Dreams about going back to school often connect to waking life situations involving pressure, expectations, self-doubt, growth, comparison, insecurity, learning experiences, transitions, work stress, or situations where you feel tested or uncertain again.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-unprepared,0.4035,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1124,0,4,4
church,Church,Houses and places,,3,2,2,2,3,2,2,3,2,2,3,2,28,P3,Passes,"Peace may reflect belonging or remembered safety; discomfort may concern scrutiny, unresolved religious harm, or conflict with authority.","A church often symbolizes beliefs, values, guidance, faith, morality, healing, forgiveness, hope, or a connection to something larger than yourself.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",praying,0.2744,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,618,4,6,6
cross,Cross,Spiritual dreams,,3,2,2,1,3,2,2,3,2,2,3,2,27,P2,Passes,"How the cross is encountered Carrying, wearing, avoiding, damaging, or standing before a cross can involve responsibility, identity, grief, protest, devotion, or institutional memory; these actions should not be collapsed into one formula.","A glowing or radiant cross often symbolizes hope, clarity, spiritual support, or comfort.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",speaking-to-jesus,0.2037,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,735,5,6,6
praying,Praying,Spiritual dreams,,3,2,2,2,2,3,2,3,2,2,3,2,28,P3,Passes,"Embarrassment while praying may concern exposure or religious judgment, while silence may express uncertainty rather than spiritual failure.","Rather than solving a problem directly, the act of praying acknowledges that something feels important enough to bring attention, care, and intention toward.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",speaking-to-god,0.3665,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; No practical connection,,616,4,6,6
storm,Storm,Natural disasters,,3,2,2,1,3,2,2,3,2,2,3,2,27,P2,Passes,"Distance, shelter, damage, and whether the storm is approaching or passing distinguish anticipated conflict from active overwhelm or recovery.",Relief after the storm differs from numbness during it.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-control,0.237,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,761,5,6,6
being-unprepared,Being unprepared,Anxiety and fear,,3,2,2,1,1,2,2,3,3,0,3,2,24,P2,Passes,"being unprepared for a speech or presentation May reflect vulnerability, fear of embarrassment, social anxiety, or emotional pressure surrounding visibility and judgment.","being unprepared for an exam Often reflects pressure, fear of judgment, self-doubt, or anxiety surrounding expectations and performance.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",failing-an-exam,0.5168,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1031,0,4,4
lightning,Lightning,Transformation and life transitions,,3,2,2,2,3,2,2,3,2,2,3,2,28,P3,Passes,"Lightning may represent sudden recognition or disruption, while recent storms or fear of severe weather may explain the imagery directly.","being struck by lightning A sudden transformation, life-changing realization, shock, or powerful emotional experience.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",storm,0.1721,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,768,5,5,5
having-a-miscarriage,Having a Miscarriage,Transformation and life transitions,,3,3,3,2,2,2,2,3,2,2,3,2,29,P3,Passes,"someone else having a miscarriage Concern for another person, empathy, or witnessing potential, plans, or hopes being disrupted.","having a miscarriage Loss, disappointment, interrupted growth, unrealized potential, or fear surrounding something meaningful.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-a-baby,0.3874,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,714,4,6,6
losing-a-baby,Losing a Baby,Family,,3,3,2,1,1,2,2,3,2,2,3,3,27,P2,Passes,"crying after losing a baby Grief, emotional release, disappointment, or processing fears surrounding loss.","someone taking the baby Fear of losing control, outside interference, insecurity, or emotional vulnerability.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",baby-dying,0.547,true,"Potentially defensible if this distinction remains central: someone taking the baby Fear of losing control, outside interference, insecurity, or emotional vulnerability.",Generic interpretation,Poor conditional scenarios; Excessive repetition,,846,5,6,6
looking-in-the-mirror,Looking in the mirror,Objects,,2,3,3,2,1,2,2,3,3,0,3,2,26,P2,Passes,"feeling calm while looking in the mirror Often reflects emotional acceptance, self-awareness, emotional maturity, or growing peace with yourself.","Looking into the mirror commonly reflects how you emotionally see yourself psychologically, emotionally, socially, spiritually, or mentally rather than simply physically.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",different-reflection-in-the-mirror,0.4863,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1216,0,4,4
stars,Stars,Transformation and life transitions,KEEP_MODEL_CANDIDATE,3,2,2,2,2,2,2,3,2,2,3,2,27,P2,Passes,"a sky full of stars Possibilities, opportunities, hope, inspiration, or a broad view of the future.",A crowded sky may therefore represent possibility or overload depending on whether any pattern can be recognized.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",shooting-stars,0.4486,true,Potentially defensible if this distinction remains central: A crowded sky may therefore represent possibility or overload depending on whether any pattern can be recognized.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,713,5,5,5
shooting-stars,Shooting Stars,Transformation and life transitions,MERGE_REVIEW,3,3,2,1,0,1,2,2,2,0,3,2,21,P1,Passes,"Dreams about shooting stars often reflect hope, wishes, opportunities, fleeting moments, inspiration, unexpected possibilities, or the awareness that something meaningful may only be available for a short time.","bright shooting stars Strong hope, inspiration, confidence, or a meaningful opportunity.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",shooting-star,0.7305,true,"Potentially defensible if this distinction remains central: bright shooting stars Strong hope, inspiration, confidence, or a meaningful opportunity.",Generic interpretation,Weak reflection questions; Excessive repetition,,617,0,5,5
hearing-a-clock-ticking,Hearing a clock ticking,Objects,,3,3,3,2,3,2,2,3,3,0,3,2,29,P3,Passes,"hearing multiple clocks ticking May symbolize competing priorities, multiple responsibilities, or feeling overwhelmed by expectations.","Why ticking clocks create tension in dreams The human mind naturally associates ticking clocks with deadlines, countdowns, aging, and the passage of time, making them powerful symbols of urgency and awareness.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,arriving-just-in-time,0.2347,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1060,0,6,6
arriving-just-in-time,Arriving just in time,Transformation and life transitions,,3,3,3,2,2,2,2,3,2,0,3,2,27,P2,Passes,"Dreams about arriving just in time often reflect relief, readiness, opportunity, self-trust, overcoming anxiety, or the feeling that things may come together before it is too late despite fears of failure, delay, or missed chances.","arriving just in time to avoid danger May reflect resilience, intuition, protection, or narrowly avoiding a difficult situation.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-late,0.4491,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1071,0,5,5
someone-confessing-their-love-to-you,Someone confessing their love to you,Relationships,,3,3,3,1,0,2,2,3,2,2,3,2,26,P2,Passes,"someone you dislike confessing their love Often reflects discomfort, unwanted attention, conflicting emotions, or qualities you struggle to accept.","a crush confessing their love Often reflects romantic hopes, attraction, emotional possibilities, or desire for reciprocated feelings.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",confessing-your-love-to-someone,0.7393,true,"Potentially defensible if this distinction remains central: a crush confessing their love Often reflects romantic hopes, attraction, emotional possibilities, or desire for reciprocated feelings.",Generic interpretation,Excessive repetition; Likely duplicate intent,,839,4,5,5
being-rejected,Being rejected,Anxiety and fear,,3,3,2,1,3,2,2,2,2,0,3,0,23,P2,Passes,"Dreams about being rejected often reflect fear of exclusion, self-doubt, vulnerability, insecurity, emotional wounds, social anxiety, or concerns about whether you are accepted, valued, or appreciated by others.","being rejected in public May symbolize embarrassment, fear of judgment, social anxiety, or vulnerability.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",abandonment,0.334,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,will happen,1013,0,6,6
confessing-your-love-to-someone,Confessing your love to someone,Relationships,KEEP,3,3,3,1,0,2,1,1,1,2,3,2,22,P1,Passes,"confessing your love to a crush Often reflects romantic hopes, vulnerability, attraction, and the desire for reciprocated feelings.","confessing your love to a stranger May symbolize undiscovered desires, future possibilities, self-discovery, or emotional exploration.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",someone-confessing-their-love-to-you,0.7393,true,"Potentially defensible if this distinction remains central: confessing your love to a stranger May symbolize undiscovered desires, future possibilities, self-discovery, or emotional exploration.",Generic interpretation,Excessive repetition; Likely duplicate intent,,595,4,3,3
losing-something-important,Losing something important,Anxiety and fear,,3,3,2,1,2,2,2,3,2,0,3,2,25,P2,Passes,"Dreams about losing something important often reflect anxiety, fear of loss, insecurity, uncertainty, emotional attachment, regret, or concerns about losing something valuable in your life, identity, relationships, opportunities, or future.",Why responsibility appears through lost items People frequently dream of losing important objects when carrying significant responsibilities or feeling overwhelmed.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-money,0.4377,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,998,0,7,7
getting-bitten-by-a-snake,Getting bitten by a snake,Animals and creatures,,3,3,2,1,1,2,2,3,3,0,3,2,25,P2,Passes,"getting bitten by a black snake May symbolize hidden fears, unknown threats, emotional uncertainty, or unresolved tension.","getting bitten by a cobra Often reflects intimidation, power struggles, emotional danger, or a situation demanding attention.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake-bite-on-the-leg,0.5418,true,"Potentially defensible if this distinction remains central: getting bitten by a cobra Often reflects intimidation, power struggles, emotional danger, or a situation demanding attention.",Weak reflection questions,,,1073,0,7,7
being-chased-by-a-snake,Being chased by a snake,Animals and creatures,,3,3,2,2,0,2,2,3,3,0,3,2,25,P2,Passes,"Dreams about being chased by a snake often reflect avoidance, emotional tension, hidden fears, unresolved conflict, anxiety, transformation, instinct, or situations that are becoming increasingly difficult to ignore.","being chased by a black snake May symbolize hidden fears, uncertainty, mistrust, shadow aspects of yourself, or unresolved emotional tension.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6927,true,"Potentially defensible if this distinction remains central: being chased by a black snake May symbolize hidden fears, uncertainty, mistrust, shadow aspects of yourself, or unresolved emotional tension.",Generic interpretation,Weak reflection questions; Excessive repetition,,1041,0,7,7
killing-a-snake,Killing a snake,Animals and creatures,,3,3,3,2,0,2,2,3,3,0,3,2,26,P2,Passes,"Why killing a snake feels so satisfying in dreams The dream often creates a sense of victory because it symbolically transforms a threat into something manageable, allowing the dreamer to feel powerful rather than helpless.","killing multiple snakes May symbolize overcoming several problems, fears, conflicts, or sources of emotional stress at once.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6628,true,"Potentially defensible if this distinction remains central: killing multiple snakes May symbolize overcoming several problems, fears, conflicts, or sources of emotional stress at once.",Generic interpretation,Weak reflection questions; Excessive repetition,,1051,0,7,7
seeing-a-dead-snake,Seeing a dead snake,Animals and creatures,,3,3,3,2,0,2,3,2,3,0,3,0,24,P2,Passes,"Dreams about seeing a dead snake often reflect the end of fear, resolved conflict, emotional healing, freedom from toxic influences, completed transformations, recovered trust, or situations that no longer have the power they once held over you.","seeing multiple dead snakes May reflect overcoming several fears, conflicts, stressful situations, or toxic influences at once.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.603,true,"Potentially defensible if this distinction remains central: seeing multiple dead snakes May reflect overcoming several fears, conflicts, stressful situations, or toxic influences at once.",Generic interpretation,Weak reflection questions; Excessive repetition,will happen,1103,0,7,7
seeing-many-snakes,Seeing many snakes,Anxiety and fear,,3,3,2,1,2,2,2,3,3,0,3,2,26,P2,Passes,"Dreams about seeing many snakes often reflect emotional overwhelm, anxiety, mistrust, hidden tensions, multiple worries, competing pressures, transformation, heightened awareness, or the feeling that several issues are demanding your attention at the same time.","seeing many black snakes Often reflects hidden fears, uncertainty, mistrust, emotional tension, or concerns that remain difficult to understand.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.3946,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1064,0,7,7
sleeping-with-a-snake,Sleeping with a snake,Animals and creatures,,3,3,3,2,0,2,2,3,3,0,3,2,26,P2,Passes,"Dreams about sleeping with a snake often reflect hidden fears, emotional intimacy with something dangerous, ignored warning signs, trust issues, temptation, transformation, unconscious influences, or becoming comfortable with situations that deserve closer attention.","sleeping beside a threatening snake May reflect hidden fears, mistrust, ignored warning signs, or situations that feel unsafe beneath the surface.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.6551,true,"Potentially defensible if this distinction remains central: sleeping beside a threatening snake May reflect hidden fears, mistrust, ignored warning signs, or situations that feel unsafe beneath the surface.",Generic interpretation,Weak reflection questions; Excessive repetition,,1131,0,7,7
being-in-an-unknown-place,Being in an unknown place,Transformation and life transitions,KEEP,3,3,2,1,3,1,1,1,1,2,3,2,23,P2,Passes,"being in a frightening unknown place Often reflects anxiety, fear of change, insecurity, or emotional discomfort.","being trapped in an unknown place Often symbolizes feeling stuck, overwhelmed, restricted, or unable to understand a circumstance.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-lost,0.2846,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Insufficient symbolic context; Weak spiritual/biblical interpretation,,560,5,3,3
intimacy-with-an-animal,Intimacy with an animal,Animals and creatures,KEEP,3,3,3,2,1,2,1,1,1,2,3,2,24,P2,Passes,"intimacy with a wild animal May symbolize untamed emotions, powerful instincts, freedom, passion, or unexplored aspects of yourself.","intimacy with an aggressive animal May reflect internal conflict, emotional tension, fear, or struggles with instinctive impulses.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",animal-attack,0.5001,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; Weak spiritual/biblical interpretation,,614,5,3,3
being-in-a-toilet,Being in a toilet,Transformation and life transitions,,3,2,2,1,3,2,2,3,3,0,3,2,26,P2,Passes,"Why public toilets feel so uncomfortable They combine two opposing needs: emotional release and privacy, creating feelings of vulnerability and exposure.","being in a public toilet May symbolize vulnerability, fear of judgment, embarrassment, or concerns about personal boundaries.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",missing-a-bathroom,0.2393,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1022,0,6,6
talking-to-a-dead-person,Talking to a Dead Person,Death and grief,KEEP,3,3,3,1,1,2,1,2,1,2,3,2,24,P2,Passes,"a dead person appearing happy Can reflect comfort, reassurance, healing, gratitude, relief, or finding peace surrounding the memory of that person.","a dead person saying goodbye Often carries sadness, acceptance, closure, or the realization that a chapter of grief or attachment may be changing.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-a-dead-person,0.4962,true,"Potentially defensible if this distinction remains central: a dead person saying goodbye Often carries sadness, acceptance, closure, or the realization that a chapter of grief or attachment may be changing.",Generic interpretation,Insufficient symbolic context; No practical connection,,647,5,4,4
hand-falling-off,Hand falling off,Anxiety and fear,,3,3,3,1,1,1,2,3,3,0,3,2,25,P2,Passes,"Dreams about a hand falling off often reflect feelings of powerlessness, loss of control, helplessness, insecurity, reduced confidence, fear of losing capability, identity struggles, or concerns about your ability to influence situations in your life.","both hands falling off Often symbolizes extreme helplessness, overwhelm, burnout, or feeling completely unable to influence a situation.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake-bite-on-the-hand,0.5091,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1051,0,6,6
teeth-falling-out,Teeth Falling Out,Body-related dreams,,3,3,3,2,0,2,2,3,2,2,3,2,27,P2,Passes,"Front teeth falling out May reflect embarrassment, fear of judgment, social anxiety, or concerns about appearance and reputation.","Why teeth falling out dreams are among the world's most common dreams Dreams about teeth falling out have been reported across cultures, age groups, and generations more consistently than almost any other dream symbol.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",broken-teeth,0.7126,true,"Potentially defensible if this distinction remains central: Why teeth falling out dreams are among the world's most common dreams Dreams about teeth falling out have been reported across cultures, age groups, and generations more consistently than almost any other dream symbol.",Generic interpretation,Excessive repetition; Likely duplicate intent,,2062,4,6,6
being-in-a-forest,Being in a forest,Houses and places,,3,2,2,1,0,2,2,3,2,0,3,2,22,P1,Passes,"a dark forest Often symbolizes fear, hidden emotions, uncertainty, unresolved issues, or anxiety about the future.","Just as a forest contains hidden paths, hidden creatures, and hidden clearings, the subconscious contains thoughts, emotions, memories, fears, and possibilities that are not always visible.",Mostly yes,"The page needs a more dream-specific distinction, conditional scenario, or reflection that could not be reused broadly.",lost-in-the-forest,0.6132,true,"Potentially defensible if this distinction remains central: Just as a forest contains hidden paths, hidden creatures, and hidden clearings, the subconscious contains thoughts, emotions, memories, fears, and possibilities that are not always visible.",Generic interpretation,Weak reflection questions; Excessive repetition,,964,0,7,7
sinkhole,Sinkhole,Anxiety and fear,KEEP,3,2,2,2,3,2,2,2,3,2,3,2,28,P3,Passes,A sinkhole beneath a home centers private foundations; beneath a road it interrupts direction; beneath another person it may center responsibility or helplessness.,"If you fall into the sinkhole, it may suggest feeling consumed by a problem or situation.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",losing-control,0.2489,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,788,5,5,5
looking-at-a-river,Looking at a River,Water,KEEP,3,3,3,2,3,2,1,1,1,2,2,2,25,P2,Passes,"looking at a calm river Peace, acceptance, emotional balance, healing, or trust in the direction life is taking.","Looking rather than entering creates distance, while a bridge, ford, boat, or absent crossing shows whether participation is possible.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",dirty-water,0.1733,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,386,5,2,2
killing-yourself,Killing Yourself,Death and grief,,3,2,2,2,3,3,2,3,2,2,3,2,29,P3,Passes,"successfully killing yourself The symbolic ending of an identity, chapter, belief, habit, or emotional burden.","Interpretation should never be used to dismiss waking hopelessness, planning, or fear of acting; those experiences call for direct support and a safety-focused response.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",death,0.3139,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient symbolic context; No practical connection,,1054,5,6,6
climbing-a-mountain,Climbing a mountain,Transformation and life transitions,,3,3,2,1,2,0,2,3,2,0,3,2,23,P2,Passes,"falling while climbing a mountain May reflect setbacks, fear of failure, discouragement, or temporary obstacles along the path.","climbing a snowy mountain Often symbolizes difficult goals, emotional endurance, discipline, or progress through challenging circumstances.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",climbing-a-tree,0.3859,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Weak reflection questions,,927,0,7,7
climbing-a-tree,Climbing a tree,Transformation and life transitions,,3,3,2,1,1,1,2,3,2,0,3,2,23,P2,Passes,"Why perspective is a major theme Climbing naturally changes what you can see, making tree dreams powerful symbols for gaining insight and broader understanding.","easily climbing a tree May reflect confidence, progress, natural growth, and belief in your abilities.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",walking-tree,0.5287,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,951,0,7,7
jumping-off-a-bridge,Jumping off a bridge,Transformation and life transitions,,3,3,3,1,3,2,2,3,3,0,3,2,28,P3,Passes,"jumping off a bridge willingly Often symbolizes personal choice, courage, freedom, and active participation in change.","jumping off a bridge and surviving May reflect resilience, courage, adaptability, and confidence in your ability to handle change.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",falling,0.2452,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,971,0,7,7
rain,Rain,Other,,3,2,3,1,3,2,2,3,2,0,3,2,26,P2,Passes,"rain and sunshine together Often reflects healing after difficulty, hope emerging from sadness, or emotional balance returning.",Someone grieving a loved one may experience rain dreams because sadness is finding expression rather than remaining trapped inside.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",storm,0.1914,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1042,0,6,6
water,Water,Water,KEEP,3,3,2,3,0,2,1,2,1,2,3,0,22,P1,Passes,Calm water may accompany steadiness or relief; muddy water can fit confusion; cold water may bring shock or alertness; refreshing water can suggest restoration.,"Clarity, movement, depth, temperature, location, agency, and outcome determine whether water feels like information, pressure, support, or danger.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",walking-on-water,0.6163,true,"Potentially defensible if this distinction remains central: Clarity, movement, depth, temperature, location, agency, and outcome determine whether water feels like information, pressure, support, or danger.",Generic interpretation,Excessive repetition; Likely duplicate intent,guarantees,1252,4,3,3
reaching-the-end-after-an-endless-fall,Reaching the End After an Endless Fall,Transformation and life transitions,KEEP,3,3,3,1,2,2,1,1,1,3,2,2,24,P2,Passes,Why endless falling dreams feel unsettling Falling dreams often mirror uncertainty because they remove control and delay resolution.,"Why reaching the bottom changes the dream Once the fall ends, the dream shifts from uncertainty toward closure.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",falling,0.3516,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,473,5,2,2
